displayValue,id,headline,headlineV2/text
"Wholesale Appliances, Electrical, and Electronics",1171,"Wholesale Appliances, Electrical, and Electronics","Wholesale Appliances, Electrical, and Electronics"
Government Relations Services,148,Government Relations Services,Government Relations Services
"Bed-and-Breakfasts, Hostels, Homestays",2197,"Bed-and-Breakfasts, Hostels, Homestays","Bed-and-Breakfasts, Hostels, Homestays"
Horticulture,150,Horticulture,Horticulture
"Wholesale Hardware, Plumbing, Heating Equipment",1178,"Wholesale Hardware, Plumbing, Heating Equipment","Wholesale Hardware, Plumbing, Heating Equipment"
Wholesale Machinery,1187,Wholesale Machinery,Wholesale Machinery
Caterers,2212,Caterers,Caterers
Mobile Food Services,2214,Mobile Food Services,Mobile Food Services
"Renewable Energy Power Generation",3240,"Renewable Energy Power Generation","Renewable Energy Power Generation"
"Renewable Energy Equipment Manufacturing",3241,"Renewable Energy Equipment Manufacturing","Renewable Energy Equipment Manufacturing"
"Engineering Services",3242,"Engineering Services","Engineering Services"
"Services for Renewable Energy",3243,"Services for Renewable Energy","Services for Renewable Energy"
"Digital Accessibility Services",3244,"Digital Accessibility Services","Digital Accessibility Services"
"Accessible Hardware Manufacturing",3245,"Accessible Hardware Manufacturing","Accessible Hardware Manufacturing"
"Accessible Architecture and Design",3246,"Accessible Architecture and Design","Accessible Architecture and Design"
"Robot Manufacturing",3247,"Robot Manufacturing","Robot Manufacturing"
"Robotics Engineering",3248,"Robotics Engineering","Robotics Engineering"
"Bars, Taverns, and Nightclubs",2217,"Bars, Taverns, and Nightclubs","Bars, Taverns, and Nightclubs"
Repair and Maintenance,2225,Repair and Maintenance,Repair and Maintenance
Surveying and Mapping Services,3249,Surveying and Mapping Services,Surveying and Mapping Services
Vehicle Repair and Maintenance,2226,Vehicle Repair and Maintenance,Vehicle Repair and Maintenance
"Retail Pharmacies",3250,"Retail Pharmacies","Retail Pharmacies"
"Climate Technology Product Manufacturing",3251,"Climate Technology Product Manufacturing","Climate Technology Product Manufacturing"
"Climate Data and Analytics",3252,"Climate Data and Analytics","Climate Data and Analytics"
"Alternative Fuel Vehicle Manufacturing",3253,"Alternative Fuel Vehicle Manufacturing","Alternative Fuel Vehicle Manufacturing"
"Smart Meter Manufacturing",3254,"Smart Meter Manufacturing","Smart Meter Manufacturing"
"Fuel Cell Manufacturing",3255,"Fuel Cell Manufacturing","Fuel Cell Manufacturing"
"Regenerative Design",3256,"Regenerative Design","Regenerative Design"
"Funeral Services",3257,"Funeral Services","Funeral Services"
"Death Care Services",3258,"Death Care Services","Death Care Services"
"Energy Technology",3259,"Energy Technology","Energy Technology"
Wholesale Recyclable Materials,1206,Wholesale Recyclable Materials,Wholesale Recyclable Materials
Wholesale Luxury Goods and Jewelry,1208,Wholesale Luxury Goods and Jewelry,Wholesale Luxury Goods and Jewelry
Wholesale Paper Products,1212,Wholesale Paper Products,Wholesale Paper Products
Electronic and Precision Equipment Maintenance,2240,Electronic and Precision Equipment Maintenance,Electronic and Precision Equipment Maintenance
Wholesale Drugs and Sundries,1221,Wholesale Drugs and Sundries,Wholesale Drugs and Sundries
Wholesale Apparel and Sewing Supplies,1222,Wholesale Apparel and Sewing Supplies,Wholesale Apparel and Sewing Supplies
Commercial and Industrial Machinery Maintenance,2247,Commercial and Industrial Machinery Maintenance,Commercial and Industrial Machinery Maintenance
